Matlock Ct/Dandenong Rd;Armadale;Matlock Ct / Dandenong Rd, Armadale 3143;-37.863820,145.021910
Kooyong Rd/Dandenong Rd;Armadale;Kooyong Rd / Dandenong Rd, Armadale 3143;-37.862840,145.019640
Cantala Ave/Dandenong Rd;Armadale;Cantala Ave / Dandenong Rd, Armadale 3143;-37.861970,145.017640
Wattletree Rd/Dandenong Rd;Armadale;Wattletree Rd / Dandenong Rd, Armadale 3143;-37.860807,145.014539
Hampden Rd/Dandenong Rd;Armadale;Hampden Rd / Dandenong Rd, Armadale 3143;-37.860645,145.013436
Orrong Rd/Dandenong Rd;Armadale;Orrong Rd / Dandenong Rd, Armadale 3143;-37.860171,145.010397
Egerton Rd/Dandenong Rd;Armadale;Egerton Rd / Dandenong Rd, Armadale 3143;-37.863790,145.022050
Lauriston Girls School/Malvern Rd;Armadale;Mercer Rd / Malvern Rd, Armadale 3143;-37.851190,145.026330
Maribyrnong Park/Maribyrnong Rd;Ascot Vale;Woods St / Maribyrnong Rd, Ascot Vale 3032;-37.770083,144.902055
St Leonards Rd/Union Rd;Ascot Vale;St Leonards Rd / Union Rd, Ascot Vale 3032;-37.773570,144.915940
Bloomfield Rd/Union Rd;Ascot Vale;Bloomfield Rd / Union Rd, Ascot Vale 3032;-37.775890,144.915560
Burrowes St/Union Rd;Ascot Vale;Burrowes St / Union Rd, Ascot Vale 3032;-37.778530,144.915180
Melbourne Showgrounds/Union Rd;Ascot Vale;Epsom Rd / Union Rd, Ascot Vale 3032;-37.780450,144.914810
Sandown Rd/Epsom Rd;Ascot Vale;Sandown Rd / Epsom Rd, Ascot Vale 3032;-37.782590,144.916710
Racing Victoria/161 Epsom Rd;Ascot Vale;Epsom Rd, Ascot Vale 3032;-37.784020,144.918120
Flemington Dr/Epsom Rd;Ascot Vale;Flemington Dr / Epsom Rd, Ascot Vale 3032;-37.785880,144.919930
Maribyrnong Park/Maribyrnong Rd;Ascot Vale;Hurtle St / Maribyrnong Rd, Ascot Vale 3032;-37.770295,144.902570
Ferguson St/Maribyrnong Rd;Ascot Vale;Ferguson St / Maribyrnong Rd, Ascot Vale 3032;-37.771416,144.912753
Epsom Rd/Maribyrnong Rd;Ascot Vale;Epsom Rd / Maribyrnong Rd, Ascot Vale 3032;-37.770629,144.905675
Maribyrnong Rd/Union Rd;Ascot Vale;Maribyrnong Rd / Union Rd, Ascot Vale 3032;-37.771870,144.916070
Munro St/Union Rd;Ascot Vale;Munro St / Union Rd, Ascot Vale 3032;-37.776100,144.915390
Melbourne Showgrounds/Epsom Rd;Ascot Vale;Union St / Epsom Rd, Ascot Vale 3032;-37.780680,144.914770
Essendon Tram Depot/Mt Alexander Rd;Ascot Vale;Mt Alexander Rd, Ascot Vale 3032;-37.779399,144.931184
Middle St/Mt Alexander Rd;Ascot Vale;Middle St / Mt Alexander Rd, Ascot Vale 3032;-37.777493,144.929830
Warrick St/Mt Alexander Rd;Ascot Vale;Warrick St / Mt Alexander Rd, Ascot Vale 3032;-37.775543,144.928530
Maribyrnong Rd/Mt Alexander Rd;Ascot Vale;Maribyrnong Rd / Mt Alexander Rd, Ascot Vale 3032;-37.773008,144.926954
Chapel St/Carlisle St;Balaclava;Chapel St / Carlisle St, Balaclava 3183;-37.868449,144.990496
St Kilda Town Hall/Carlisle St;Balaclava;Brighton Rd / Carlisle St, Balaclava 3183;-37.868227,144.988755
Balaclava Station/Carlisle St;Balaclava;Nelson St / Carlisle St, Balaclava 3183;-37.868822,144.993369
Orange Gr/Carlisle St;Balaclava;Orange Gr / Carlisle St, Balaclava 3183;-37.869243,144.996738
Hotham St/Carlisle St;Balaclava;Hotham St / Carlisle St, Balaclava 3183;-37.869608,144.999630
St Kilda Primary School/Brighton Rd;Balaclava;Mozart St / Brighton Rd, Balaclava 3183;-37.870110,144.988440
Chapel St/Brighton Rd;Balaclava;Chapel St / Brighton Rd, Balaclava 3183;-37.871770,144.989490
Brunning St/Brighton Rd;Balaclava;Brunning St / Brighton Rd, Balaclava 3183;-37.872800,144.990120
Glen Eira Rd/Brighton Rd;Balaclava;Glen Eira Rd / Brighton Rd, Balaclava 3183;-37.876640,144.992550
Scott St/Brighton Rd;Balaclava;Scott St / Brighton Rd, Balaclava 3183;-37.878890,144.993970
Coleridge St/Brighton Rd;Balaclava;Coleridge St / Brighton Rd, Balaclava 3183;-37.880800,144.995160
Hotham St/Brighton Rd;Balaclava;Hotham St / Brighton Rd, Balaclava 3183;-37.882960,144.996500
Deepdene Shopping Centre/Whitehorse Rd;Balwyn;Barnsbury Rd / Whitehorse Rd, Balwyn 3103;-37.810922,145.064882
Deepdene Park/Whitehorse Rd;Balwyn;Parkside Ave / Whitehorse Rd, Balwyn 3103;-37.811375,145.068669
Hardwicke St/Whitehorse Rd;Balwyn;Hardwicke St / Whitehorse Rd, Balwyn 3103;-37.811748,145.071786
Balwyn Cinema/Whitehorse Rd;Balwyn;Austin St / Whitehorse Rd, Balwyn 3103;-37.812240,145.075931
Balwyn Rd/Whitehorse Rd;Balwyn;Balwyn Rd / Whitehorse Rd, Balwyn 3103;-37.812917,145.081526
Balwyn Shopping Centre/Whitehorse Rd;Balwyn;Rochester Rd / Whitehorse Rd, Balwyn 3103;-37.813197,145.083793
Northcote Ave/Whitehorse Rd;Balwyn;Northcote Ave / Whitehorse Rd, Balwyn 3103;-37.813693,145.087957
