Keon Park Vline Station;Thomastown;Keon Pde / High St, Thomastown 3074;-37.694867,145.011883
Keilor Plains Vline Station;St Albans;Power St / East Esplanade , St Albans 3021;-37.729276,144.793733
St Albans Vline Station;St Albans;Main Rd / St Albans Rd, St Albans 3021;-37.744859,144.800055
Ginifer Vline Station;St Albans;St Albans Rd, St Albans 3021;-37.757509,144.809571
Auburn Vline Station;Hawthorn East;Auburn Rd / Lilydale Gr, Hawthorn East 3123;-37.822398,145.045842
Preston Vline Station;Preston;Murray Rd / St Georges Rd, Preston 3072;-37.738674,145.000527
Bell Vline Station;Preston;Bell St / Garnet St, Preston 3072;-37.745566,145.000152
Williams Landing Vline Station;Williams Landing;, Williams Landing 3027;-37.869868,144.747446
Pakenham Vline Station;Pakenham;Henry Rd / Vline Ave, Pakenham 3810;-38.080612,145.486374
Cardinia Road Vline Station;Pakenham;Cardinia Rd / Village Way, Pakenham 3810;-38.071288,145.437794
Yarraman Vline Station;Noble Park;Cyril Gr / Vline Pde, Noble Park 3174;-37.978253,145.191597
Noble Park Vline Station;Noble Park;Stuart St / Douglas St, Noble Park 3174;-37.967236,145.176936
Croydon Vline Station;Croydon;Toorak Ave / Wicklow Ave, Croydon 3136;-37.795441,145.280594
Leawarra Vline Station;Frankston;Lardner Rd / Bloom St, Frankston 3199;-38.152036,145.139535
Frankston Vline Station;Frankston;Beach St / Fletcher Rd, Frankston 3199;-38.142987,145.126166
Hawksburn Vline Station;South Yarra;Barnsbury Rd / Luxton Rd, South Yarra 3141;-37.844594,145.002137
South Yarra Vline Station;South Yarra;Toorak Rd / Yarra St, South Yarra 3141;-37.838445,144.992341
Carrum Vline Station;Carrum;Johnson Ave / Nepean Hwy, Carrum 3197;-38.074896,145.122414
Balaclava Vline Station;Balaclava;Carlisle St / William Pl, Balaclava 3183;-37.869486,144.993514
Kooyong Vline Station;Kooyong;Glenferrie Rd / Monaro Rd, Kooyong 3144;-37.839926,145.033550
Aspendale Vline Station;Aspendale;Foster St / Nepean Hwy, Aspendale 3195;-38.027222,145.102151
Westgarth Vline Station;Northcote;Westgarth St / South Cres, Northcote 3070;-37.780618,144.999231
Dennis Vline Station;Northcote;Cain Ave, Northcote 3070;-37.779183,145.008240
Croxton Vline Station;Northcote;Beaconsfield Pde / Stott St, Northcote 3070;-37.764098,144.997057
Northcote Vline Station;Northcote;Turnbull Gr / Herbert St, Northcote 3070;-37.769865,144.995282
Merri Vline Station;Northcote;Bridge St / Vline St, Northcote 3070;-37.777843,144.992976
Belgrave Vline Station;Belgrave;Main St / Belgrave-Gembrook Rd, Belgrave 3160;-37.909099,145.355291
Mooroolbark Vline Station;Mooroolbark;Manchester Rd / Brice Ave, Mooroolbark 3138;-37.784749,145.312404
Spotswood Vline Station;Spotswood;Hope St, Spotswood 3015;-37.830635,144.885935
Coburg Vline Station;Coburg;Bell St / Hudson St, Coburg 3058;-37.742341,144.963342
Moreland Vline Station;Coburg;Moreland Rd / Station St, Coburg 3058;-37.754481,144.961823
Pascoe Vale Vline Station;Pascoe Vale;Gaffney St / Burgundy St, Pascoe Vale 3044;-37.730754,144.928194
Beaconsfield Vline Station;Beaconsfield;Soldiers Rd / Kenilworth Ave, Beaconsfield 3807;-38.050828,145.366069
North Melbourne Vline Station;West Melbourne;Dynon Rd / Vline Pl, West Melbourne 3003;-37.806309,144.941509
Heidelberg Vline Station;Heidelberg;Studley Rd, Heidelberg 3084;-37.757075,145.060690
Tecoma Vline Station;Tecoma;Campbell St, Tecoma 3160;-37.908116,145.342999
Seddon Vline Station;Seddon;Bellairs Ave, Seddon 3011;-37.809001,144.895668
Sunshine Vline Station;Sunshine;Hampshire Rd / Station Pl, Sunshine 3020;-37.788535,144.832880
Burnley Vline Station;Burnley;Burnley St / Madden Gr, Burnley 3121;-37.827558,145.007553
Merlynston Vline Station;Coburg North;Plaisted St / Bain Ave, Coburg North 3058;-37.720937,144.961312
Batman Vline Station;Coburg North;Gaffney St / McDonald St, Coburg North 3058;-37.733524,144.962837
Clayton Vline Station;Clayton;Clayton Rd / Haughton Rd, Clayton 3168;-37.924683,145.120531
Bonbeach Vline Station;Bonbeach;Harding Ave / Nepean Hwy, Bonbeach 3196;-38.062945,145.119682
Tooronga Vline Station;Malvern;Tooronga Rd / Milton Pde, Malvern 3144;-37.849370,145.041734
Malvern Vline Station;Malvern;Glenferrie Rd / Station Pl, Malvern 3144;-37.866250,145.029293
Glenhuntly Vline Station;Glen Huntly;Glen Huntly Rd / Royal Ave, Glen Huntly 3163;-37.889717,145.042218
Upper Ferntree Gully Vline Station;Upper Ferntree Gully;Vline Ave / Burwood Hwy, Upper Ferntree Gully 3156;-37.892673,145.307525
Ringwood Vline Station;Ringwood;Wantirna Rd / Station St, Ringwood 3134;-37.815890,145.228970
Heyington Vline Station;Toorak;Gawith Ct / Heyington Pl, Toorak 3142;-37.834670,145.022633
