Fernhill Ct/Evergreen Ave;Albanvale;Fernhill Ct / Evergreen Ave, Albanvale 3021;-37.743461,144.767130
Bridport St/Richardson St;Albert Park;Bridport St / Richardson St, Albert Park 3206;-37.842357,144.949030
Albert Park Shops/Richardson St;Albert Park;Victoria Ave / Richardson St, Albert Park 3206;-37.843576,144.951150
Kerferd Rd/Richardson St;Albert Park;Kerferd Rd / Richardson St, Albert Park 3206;-37.845579,144.954510
Carrington Dr/Ballarat Rd;Albion;Carrington Dr / Ballarat Rd, Albion 3020;-37.774690,144.809609
Perth Ave/Ballarat Rd;Albion;Perth Ave / Ballarat Rd, Albion 3020;-37.775176,144.814407
Maylands St/Ballarat Rd;Albion;Maylands St / Ballarat Rd, Albion 3020;-37.775656,144.818079
Albion Railway Station/Sydney St;Albion;Derrimut St / Sydney St, Albion 3020;-37.776906,144.823327
Gunnedah St/Sydney St;Albion;Gunnedah St / Sydney St, Albion 3020;-37.779524,144.822897
King Edward Ave/Sydney St;Albion;King Edward Ave / Sydney St, Albion 3020;-37.781510,144.822550
Ridley St/Sydney St;Albion;Ridley St / Sydney St, Albion 3020;-37.783140,144.822300
Kororoit St/Forrest St;Albion;Kororoit St / Forrest St, Albion 3020;-37.784979,144.823961
Anderson Rd/Forrest St;Albion;Anderson Rd / Forrest St, Albion 3020;-37.785174,144.825997
Wasley St/Ballarat Rd;Albion;Wasley St / Ballarat Rd, Albion 3020;-37.774954,144.810488
Albion Railway Station/Ballarat Rd;Albion;Sydney St / Ballarat Rd, Albion 3020;-37.776430,144.822791
Bazentin St/Sydney St;Albion;Bazentin St / Sydney St, Albion 3020;-37.779152,144.822842
Drummartin St/Sydney St;Albion;Drummartin St / Sydney St, Albion 3020;-37.783053,144.822186
Sydney St/Forrest St;Albion;Sydney St / Forrest St, Albion 3020;-37.784811,144.821597
Adelaide St/Forrest St;Albion;Adelaide St / Forrest St, Albion 3020;-37.784600,144.819500
Kororoit Creek/24 Forrest St;Albion;Forrest St, Albion 3020;-37.783799,144.812574
54 Grant St;Alexandra;Grant St, Alexandra 3714;-37.191035,145.709072
Fulham Rd/Separation St;Alphington;Fulham Rd / Separation St, Alphington 3078;-37.772550,145.027150
Ross St/Separation St;Alphington;Ross St / Separation St, Alphington 3078;-37.772687,145.028767
Bennett St/Separation St;Alphington;Bennett St / Separation St, Alphington 3078;-37.772950,145.031350
Parklands Ave/Yarana Rd;Alphington;Parklands Ave / Yarana Rd, Alphington 3078;-37.775365,145.031961
Mercil Rd/Wingrove St;Alphington;Mercil Rd / Wingrove St, Alphington 3078;-37.779042,145.026952
Wingrove St/Grange Rd;Alphington;Wingrove St / Grange Rd, Alphington 3078;-37.778340,145.025160
Fulham Rd/Heidelberg Rd;Alphington;Fulham Rd / Heidelberg Rd, Alphington 3078;-37.781600,145.026230
Harker St/Heidelberg Rd;Alphington;Harker St / Heidelberg Rd, Alphington 3078;-37.780843,145.030515
Yarralea St/Heidelberg Rd;Alphington;Yarralea St / Heidelberg Rd, Alphington 3078;-37.780459,145.032529
Old Heidelberg Rd/Heidelberg Rd;Alphington;Old Heidelberg Rd / Heidelberg Rd, Alphington 3078;-37.780091,145.034384
Yarraford Ave/Heidelberg Rd;Alphington;Yarraford Ave / Heidelberg Rd, Alphington 3078;-37.782510,145.022140
Grange Rd/Heidelberg Rd;Alphington;Grange Rd / Heidelberg Rd, Alphington 3078;-37.782100,145.024314
Lowther St/Heidelberg Rd;Alphington;Lowther St / Heidelberg Rd, Alphington 3078;-37.781234,145.028906
Como St/Heidelberg Rd;Alphington;Como St / Heidelberg Rd, Alphington 3078;-37.780308,145.033660
Alphington Railway Station/Wingrove St;Alphington;Yarana Rd / Wingrove St, Alphington 3078;-37.778180,145.031250
Rayment St/Grange Rd;Alphington;Rayment St / Grange Rd, Alphington 3078;-37.773503,145.026144
Darling St/Grange Rd;Alphington;Darling St / Grange Rd, Alphington 3078;-37.775824,145.025711
38 Grange Rd;Alphington;Grange Rd, Alphington 3078;-37.778400,145.025249
Kororoit Creek Rd/Millers Rd;Altona;Kororoit Creek Rd / Millers Rd, Altona 3018;-37.850746,144.844801
Noordenne Ave/Millers Rd;Altona;Noordenne Ave / Millers Rd, Altona 3018;-37.859318,144.842313
Cherry Lake Reserve/Millers Rd;Altona;Stirling Ave / Millers Rd, Altona 3018;-37.862598,144.840407
Civic Pde/Millers Rd;Altona;Civic Pde / Millers Rd, Altona 3018;-37.865883,144.838891
Seaholme Railway Station/Millers Rd;Altona;Railway St / Millers Rd, Altona 3018;-37.867591,144.838601
Seves St/Blyth St;Altona;Seves St / Blyth St, Altona 3018;-37.869040,144.837529
Mount St/Blyth St;Altona;Mount St / Blyth St, Altona 3018;-37.868755,144.834918
Davies St/Blyth St;Altona;Davies St / Blyth St, Altona 3018;-37.868527,144.832729
McBain St/Blyth St;Altona;McBain St / Blyth St, Altona 3018;-37.867977,144.827393
Altona Primary School/Blyth St;Altona;Upton St / Blyth St, Altona 3018;-37.867652,144.823146
Rayner St/Blyth St;Altona;Rayner St / Blyth St, Altona 3018;-37.868292,144.821225
Grieve Pde/Blyth St;Altona;Grieve Pde / Blyth St, Altona 3018;-37.869133,144.818254
Rankin St/Blyth St;Altona;Rankin St / Blyth St, Altona 3018;-37.869636,144.815950
167 Blyth St;Altona;Blyth St, Altona 3018;-37.870016,144.814036
Maidstone St/Blyth St;Altona;Maidstone St / Blyth St, Altona 3018;-37.870627,144.811603
Myrtle Gr/Maidstone St;Altona;Myrtle Gr / Maidstone St, Altona 3018;-37.872474,144.812925
Truganina Explosives Reserve/Queen St;Altona;Queen St, Altona 3018;-37.876244,144.803359
Altona Sports Centre/Queen St;Altona;Queen St, Altona 3018;-37.875482,144.796707
Ross Rd/Millers Rd;Altona;Ross Rd / Millers Rd, Altona 3018;-37.848983,144.845339
Sussex St/Millers Rd;Altona;Sussex St / Millers Rd, Altona 3018;-37.863566,144.840128
Seaholme Railway Station/Millers Rd;Altona;Central Ave / Millers Rd, Altona 3018;-37.867644,144.838768
Millers Rd/Blyth St;Altona;Millers Rd / Blyth St, Altona 3018;-37.869169,144.837676
Mulga St/Blyth St;Altona;Mulga St / Blyth St, Altona 3018;-37.870133,144.813997
Queen St/Maidstone St;Altona;Queen St / Maidstone St, Altona 3018;-37.872993,144.813504
Apex Park/Queen St;Altona;Queen St, Altona 3018;-37.875338,144.810932
Altona Sports Centre/Queen St;Altona;Andrew Park Dr / Queen St, Altona 3018;-37.875617,144.796503
Linnet St/Maidstone St;Altona;Linnet St / Maidstone St, Altona 3018;-37.867262,144.812286
Westona Railway Station/Maidstone St;Altona;Harrington Sq / Maidstone St, Altona 3018;-37.864458,144.812449
Fenfield St/Civic Pde;Altona;Fenfield St / Civic Pde, Altona 3018;-37.862869,144.812933
Altona P-9 College/Civic Pde;Altona;Cowra St / Civic Pde, Altona 3018;-37.862941,144.817090
Belmar Ave/Grieve Pde;Altona;Belmar Ave / Grieve Pde, Altona 3018;-37.861240,144.818940
Ford Rd/Grieve Pde;Altona;Ford Rd / Grieve Pde, Altona 3018;-37.857790,144.819400
Glenwood Ave/Civic Pde;Altona;Glenwood Ave / Civic Pde, Altona 3018;-37.863290,144.820453
McIntyre Dr/Civic Pde;Altona;McIntyre Dr / Civic Pde, Altona 3018;-37.863601,144.823343
Sugar Gum Dr/Civic Pde;Altona;Sugar Gum Dr / Civic Pde, Altona 3018;-37.863896,144.826088
Civic Centre/Civic Pde;Altona;Pier St / Civic Pde, Altona 3018;-37.864372,144.830571
Railway St North/Pier St;Altona;Railway St / Pier St, Altona 3018;-37.866930,144.830750
Mount St/Civic Pde;Altona;Mount St / Civic Pde, Altona 3018;-37.864835,144.834703
Seves St/Civic Pde;Altona;Seves St / Civic Pde, Altona 3018;-37.865225,144.837988
Millers Rd/Kororoit Creek Rd;Altona;Millers Rd / Kororoit Creek Rd, Altona 3018;-37.850482,144.846974
Somers Pde/Maidstone St;Altona;Somers Pde / Maidstone St, Altona 3018;-37.869762,144.812044
Maidstone St/Civic Pde;Altona;Maidstone St / Civic Pde, Altona 3018;-37.863105,144.812531
Rose St/Civic Pde;Altona;Rose St / Civic Pde, Altona 3018;-37.863402,144.820296
Hancock St/Civic Pde;Altona;Hancock St / Civic Pde, Altona 3018;-37.863698,144.823263
Ganton Ct/Kororoit Creek Rd;Altona;Ganton Ct / Kororoit Creek Rd, Altona 3018;-37.853056,144.854696
Altona Railway Station/Blyth St;Altona;Pier St / Blyth St, Altona 3018;-37.868451,144.830704
David St/Civic Pde;Altona;David St / Civic Pde, Altona 3018;-37.863945,144.826102
Bent St/Civic Pde;Altona;Bent St / Civic Pde, Altona 3018;-37.864651,144.832025
Altona Railway Station/Railway St South;Altona;Pier St / Railway St South , Altona 3018;-37.867325,144.830073
Civic Centre/Civic Pde;Altona;Fresno St / Civic Pde, Altona 3018;-37.864611,144.832715
Port Phillip Retirement Village/Bell Ave;Altona;Kookaburra St / Bell Ave, Altona 3018;-37.870913,144.805497
Blyth St/Maidstone St;Altona;Blyth St / Maidstone St, Altona 3018;-37.870684,144.811607
Carinza Ave/Point Cook Rd;Altona Meadows;Carinza Ave / Point Cook Rd, Altona Meadows 3028;-37.872530,144.759793
Victoria St/Queen St;Altona Meadows;Victoria St / Queen St, Altona Meadows 3028;-37.873579,144.787178
Trafalgar Ave/Victoria St;Altona Meadows;Trafalgar Ave / Victoria St, Altona Meadows 3028;-37.877931,144.785669
Queen St/Victoria St;Altona Meadows;Queen St / Victoria St, Altona Meadows 3028;-37.874395,144.786147
Nelson Ave/Victoria St;Altona Meadows;Nelson Ave / Victoria St, Altona Meadows 3028;-37.880667,144.785398
GF Sterling Reserve/Victoria St;Altona Meadows;Victoria St, Altona Meadows 3028;-37.876783,144.786092
Roach Dr/Victoria St;Altona Meadows;Roach Dr / Victoria St, Altona Meadows 3028;-37.884223,144.785413
239 Victoria St;Altona Meadows;Victoria St, Altona Meadows 3028;-37.887790,144.784014
Featherby Way/Victoria St;Altona Meadows;Featherby Way / Victoria St, Altona Meadows 3028;-37.888855,144.778235
272 Merton St;Altona Meadows;Merton St, Altona Meadows 3028;-37.885659,144.775568
South Ave/Merton St;Altona Meadows;South Ave / Merton St, Altona Meadows 3028;-37.882420,144.775954
May Ave/Merton St;Altona Meadows;May Ave / Merton St, Altona Meadows 3028;-37.880215,144.776303
Rubeo Ave/Merton St;Altona Meadows;Rubeo Ave / Merton St, Altona Meadows 3028;-37.877265,144.776678
Central Square Shopping Centre/Merton St;Altona Meadows;Queen St / Merton St, Altona Meadows 3028;-37.872968,144.777229
South Ave/Victoria St;Altona Meadows;South Ave / Victoria St, Altona Meadows 3028;-37.883385,144.784908
Tatman Dr/Victoria St;Altona Meadows;Tatman Dr / Victoria St, Altona Meadows 3028;-37.885983,144.785711
Sommers Dr/Victoria St;Altona Meadows;Sommers Dr / Victoria St, Altona Meadows 3028;-37.887665,144.783898
Victoria St/Merton St;Altona Meadows;Victoria St / Merton St, Altona Meadows 3028;-37.885362,144.775773
Brown Ave/Merton St;Altona Meadows;Brown Ave / Merton St, Altona Meadows 3028;-37.883436,144.776081
Trafalgar Ave/Merton St;Altona Meadows;Trafalgar Ave / Merton St, Altona Meadows 3028;-37.877295,144.776912
Linden St/Railway Ave;Altona Meadows;Linden St / Railway Ave, Altona Meadows 3028;-37.862907,144.777396
Hall Ave/Merton St;Altona Meadows;Hall Ave / Merton St, Altona Meadows 3028;-37.864898,144.778509
47 Merton St;Altona Meadows;Merton St, Altona Meadows 3028;-37.869510,144.777890
Merton St/Alma Ave;Altona Meadows;Merton St / Alma Ave, Altona Meadows 3028;-37.868695,144.778494
Rosebery St/Alma Ave;Altona Meadows;Rosebery St / Alma Ave, Altona Meadows 3028;-37.869088,144.783228
Kurrajong Dr/Victoria St;Altona Meadows;Kurrajong Dr / Victoria St, Altona Meadows 3028;-37.870140,144.787113
80 Merton St;Altona Meadows;Merton St, Altona Meadows 3028;-37.869536,144.777726
North Ave/Merton St;Altona Meadows;North Ave / Merton St, Altona Meadows 3028;-37.864766,144.778357
Banksia Ct/Victoria St;Altona Meadows;Banksia Ct / Victoria St, Altona Meadows 3028;-37.872636,144.786615
Harvey Cl/Queen St;Altona Meadows;Harvey Cl / Queen St, Altona Meadows 3028;-37.874121,144.788940
Central Square Shopping Centre/Central Ave;Altona Meadows;Merton St / Central Ave, Altona Meadows 3028;-37.871530,144.775706
Uniting Church/Central Ave;Altona Meadows;Grace St / Central Ave, Altona Meadows 3028;-37.871132,144.771579
Epsom St/Central Ave;Altona Meadows;Epsom St / Central Ave, Altona Meadows 3028;-37.870922,144.769296
Ascot St/Central Ave;Altona Meadows;Ascot St / Central Ave, Altona Meadows 3028;-37.870458,144.764142
WestCity Christian Church/Central Ave;Altona Meadows;Epsom St / Central Ave, Altona Meadows 3028;-37.870611,144.768377
Central Square Shopping Centre/Central Ave;Altona Meadows;Kiora St / Central Ave, Altona Meadows 3028;-37.871241,144.775577
Clelland Rd/Grieve Pde;Altona North;Clelland Rd / Grieve Pde, Altona North 3025;-37.823517,144.829422
Grieve Pde/Blackshaws Rd;Altona North;Grieve Pde / Blackshaws Rd, Altona North 3025;-37.828335,144.830727
Knapp St/Blackshaws Rd;Altona North;Knapp St / Blackshaws Rd, Altona North 3025;-37.829750,144.834672
Altona Gate Primary School/Blackshaws Rd;Altona North;Misten Ave / Blackshaws Rd, Altona North 3025;-37.830353,144.839519
Irwin Ave/Blackshaws Rd;Altona North;Irwin Ave / Blackshaws Rd, Altona North 3025;-37.830657,144.842252
Glade Ave/Chambers Rd;Altona North;Glade Ave / Chambers Rd, Altona North 3025;-37.827777,144.843909
Altona Gate Shopping Centre/Millers Rd;Altona North;Cyclamen Ave / Millers Rd, Altona North 3025;-37.827415,144.848724
Seventh Ave/Blackshaws Rd;Altona North;Seventh Ave / Blackshaws Rd, Altona North 3025;-37.831414,144.849512
First Ave/Blackshaws Rd;Altona North;First Ave / Blackshaws Rd, Altona North 3025;-37.831970,144.854791
Kyle Rd/Blackshaws Rd;Altona North;Kyle Rd / Blackshaws Rd, Altona North 3025;-37.832149,144.856586
Blackshaws Rd/The Broadway;Altona North;Blackshaws Rd / The Broadway , Altona North 3025;-37.832833,144.860758
Stapley Cres/The Broadway;Altona North;Stapley Cres / The Broadway , Altona North 3025;-37.835718,144.863008
Altona North Shops/The Broadway;Altona North;Stapley Cres / The Broadway , Altona North 3025;-37.837410,144.864380
Hansen St/Mason St;Altona North;Hansen St / Mason St, Altona North 3025;-37.840647,144.865037
Altona Gate Shopping Centre/Duosa Rd;Altona North;Langshaw St / Duosa Rd, Altona North 3025;-37.826852,144.847482
Blackshaws Rd/Millers Rd;Altona North;Blackshaws Rd / Millers Rd, Altona North 3025;-37.831964,144.848263
Second Ave/Blackshaws Rd;Altona North;Second Ave / Blackshaws Rd, Altona North 3025;-37.831801,144.854428
Macdonald Ave/Blackshaws Rd;Altona North;Macdonald Ave / Blackshaws Rd, Altona North 3025;-37.832322,144.859277
Jeffrey Ave/The Broadway;Altona North;Jeffrey Ave / The Broadway , Altona North 3025;-37.834387,144.862171
Hansen St/The Broadway;Altona North;Hansen St / The Broadway , Altona North 3025;-37.837247,144.864444
Douglas St/Millers Rd;Altona North;Douglas St / Millers Rd, Altona North 3025;-37.843220,144.846083
Hobbs St/Millers Rd;Altona North;Hobbs St / Millers Rd, Altona North 3025;-37.841403,144.846393
Millers Rd/Mason St;Altona North;Millers Rd / Mason St, Altona North 3025;-37.838500,144.847720
Fourth Ave/Mason St;Altona North;Fourth Ave / Mason St, Altona North 3025;-37.838780,144.850800
Mills St/Mason St;Altona North;Mills St / Mason St, Altona North 3025;-37.839290,144.855720
Mason St/McIntosh Rd;Altona North;Mason St / McIntosh Rd, Altona North 3025;-37.839278,144.859082
Mitchell Ave/McIntosh Rd;Altona North;Mitchell Ave / McIntosh Rd, Altona North 3025;-37.837947,144.861507
Berkeley Cres/Millers Rd;Altona North;Berkeley Cres / Millers Rd, Altona North 3025;-37.844683,144.846100
Hendren Ave/Millers Rd;Altona North;Hendren Ave / Millers Rd, Altona North 3025;-37.840392,144.846827
Seventh Ave/Mason St;Altona North;Seventh Ave / Mason St, Altona North 3025;-37.838743,144.848356
Second Ave/Mason St;Altona North;Second Ave / Mason St, Altona North 3025;-37.839171,144.852746
Park & Ride/Millers Rd;Altona North;Millers Rd, Altona North 3025;-37.846873,144.844699
Westgate (west) Dr/Dohertys Rd;Altona North;Westgate (west) Dr / Dohertys Rd, Altona North 3025;-37.831056,144.819395
Westgate (east) Dr/Dohertys Rd;Altona North;Westgate (east) Dr / Dohertys Rd, Altona North 3025;-37.831220,144.822686
Grieve Pde/Dohertys Rd;Altona North;Grieve Pde / Dohertys Rd, Altona North 3025;-37.831435,144.824600
Millers Rd/West Gate Fwy;Altona North;Millers Rd / West Gate Fwy, Altona North 3025;-37.824269,144.849616
Walker Cl/Millers Rd;Altona North;Walker Cl / Millers Rd, Altona North 3025;-37.833339,144.847777
McArthurs Rd/Millers Rd;Altona North;McArthurs Rd / Millers Rd, Altona North 3025;-37.834927,144.847505
Mason St/Millers Rd;Altona North;Mason St / Millers Rd, Altona North 3025;-37.838761,144.846816
Ross Rd/Millers Rd;Altona North;Ross Rd / Millers Rd, Altona North 3025;-37.848399,144.845186
Marigold Ave/Millers Rd;Altona North;Marigold Ave / Millers Rd, Altona North 3025;-37.826871,144.849120
May St/Millers Rd;Altona North;May St / Millers Rd, Altona North 3025;-37.832857,144.848113
